corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot	author_wikidata_id	work_wikidata_id
ELTeC-deu	DEU026	DEU026	Vischer, Friedrich Theodor	Auch Einer 2	1807	1887	M	http://d-nb.info/gnd/11862721X	1879			1879			de	96548			medium	high	T2	Q651	Q111239427
ELTeC-deu	DEU034	DEU034	Vischer, Friedrich Theodor	Auch Einer 1	1807	1887	M	http://d-nb.info/gnd/11862721X	1879			1879			de	98067			medium	high	T2	Q651	Q111239426
ELTeC-deu	DEU028	DEU028	François, Louise von	Die letzte Reckenburgerin	1817	1893	F	http://d-nb.info/gnd/118692577	1918			1918			de	108606			long	unspecified	T2	Q84820	Q111239484
ELTeC-deu	DEU004	DEU004	Otto, Louise	Nürnberg. Zweiter Band	1819	1895	F	http://d-nb.info/gnd/118590901	1880						de	56702			medium	low	T1	Q71507	Q111239600
ELTeC-deu	DEU092	DEU092	Sudermann, Hermann	Jons und Erdme	1857	1928	M	http://d-nb.info/gnd/118619853	1923			1923			de	48607			short	low	T4	Q65448	Q107868849
ELTeC-deu	DEU049	DEU049	Raabe, Wilhelm	Die Leute aus dem Walde, ihre Sterne, Wege und Schicksale	1831	1910	M	http://d-nb.info/gnd/118692577	1863			1964–1966			de	149073			long	low	T2	Q84820	Q1214404
ELTeC-deu	DEU069	DEU069	Kretzer, Max	Meister Timpe	1854	1941	M	http://d-nb.info/gnd/118715917	1888			1888			de	92656			medium	low	T3	Q108847	Q111239597
ELTeC-deu	DEU002	DEU002	Auerbach, Berthold	Der Lehnhold	1812	1882	M	http://d-nb.info/gnd/11865103X	1863			1863			de	66067			medium	low	T1	Q76715	Q111239461
ELTeC-deu	DEU025	DEU025	Kürnberger, Ferdinand	Der Amerika-Müde	1823	1879	M	http://d-nb.info/gnd/118567764	1855			1855			de	81837			medium	low	T1	Q669703	Q111239455
ELTeC-deu	DEU011	DEU011	Freytag, Gustav	Soll und Haben	1816	1895	M	http://d-nb.info/gnd/118535455	1977		1855.0	1977			de	344948			long	high	T1	Q58811	Q2298931
ELTeC-deu	DEU030	DEU030	Freytag, Gustav	Die verlorene Handschrift	1816	1895	M	http://d-nb.info/gnd/pnd:118535455	1864		1864.0				de	307798			long	high	T2	Q58811	Q111239495
ELTeC-deu	DEU008	DEU008	Auerbach, Berthold	Der Lautenbacher	1812	1882	M	http://d-nb.info/gnd/11865103X	1863			1863			de	31603			short	low	T1	Q76715	Q111239460
ELTeC-deu	DEU038	DEU038	Raabe, Wilhelm	Der Hungerpastor	1831	1910	M	http://d-nb.info/gnd/118597442	1864	Nov. 1863 – März                  1864		1964–1966			de	166341			long	high	T2	Q84820	Q1194487
ELTeC-deu	DEU076	DEU076	Wassermann, Jakob	Caspar Hauser	1873	1934	M	http://d-nb.info/gnd/1014784077	1907	Oktober 1907					de	156760			long	high	T4	Q60369	Q42187701
ELTeC-deu	DEU031	DEU031	Raabe, Wilhelm	Der Schüdderump	1831	1910	M	http://d-nb.info/gnd/118692577	1870	Oktober 1969 – März 1870		1964–1966			de	135524			long	high	T2	Q84820	Q1196819
